2024-0812,Crisostomo,Ibarra,BSCS,3,Male
2024-1190,Maria,Clara,BSBA-MM,1,Female
2024-0543,Padre,Damaso,BAHIS,4,Male
2024-1902,Sisa,Narciso,BSN,2,Female
2024-0231,Basilio,Santos,BSBIO,3,Male
2024-1765,Crispin,Santos,BSBIO-ANBIO,1,Male
2024-0987,Elias,Quinto,BSCE,4,Male
2024-0114,Salome,Reyes,BSMB,2,Female
2024-1432,Amihan,Maceda,BSPHY,3,Female
2024-0678,Pirena,Ravena,BSCHEM,4,Female
2024-1321,Alena,Agua,BSBIO-BOT,2,Female
2024-0449,Danaya,Terra,BSSTAT,1,Female
2024-1880,Ybarro,Fierro,BSMETE,3,Male
2024-0335,Aquil,Fuerte,BSME,4,Male
2024-1554,Lira,Cruz,BSIT,1,Female
2024-0772,Mira,Luna,BSIS,2,Female
2024-1991,Cardo,Dalisay,BSCPE,4,Male
2024-0120,Alyana,Arevalo,BSCA,3,Female
2024-1447,Joaquin,Tuazon,BAPOLSCI,4,Male
2024-0665,Lola,Flora,BASOCIO,1,Female
2024-1339,Amor,Powers,BSA,3,Female
2024-0226,Claudia,Buenavista,BEED-LE,4,Female
2024-1773,Angelo,Buenavista,BHM,2,Male
2024-0558,Yna,Macaspac,BSED-FIL,1,Female
2024-1229,Maya,Dela Rosa,BTLED-HOMECO,2,Female
2024-0884,Richard,Lim,BSBA-MM,4,Male
2024-1551,Serena,Marchesa,BAELS,1,Female
2024-0442,Tenten,Ibarra,BAPAN,2,Male
2024-1997,Basha,Belmonte,BSPSYCH,4,Female
2024-0330,Popoy,Gonzalez,BSCE,4,Male
2024-1663,Bobbie,Salazar,BALCS,3,Female
2024-0779,Teddie,Salazar,BSED-MAT,4,Female
2024-1885,Alex,Salazar,BSBIO,2,Female
2024-0118,Gabbie,Salazar,BSED-BIO,3,Female
2024-1441,Cj,Salazar,BSCS,1,Male
2024-0660,Anthony,Lucero,BSEE,4,Male
2024-1333,Mace,Castillo,BAPSYCH,2,Female
2024-0220,Budoy,Laroza,BEED-SCIMAT,1,Male
2024-1779,Darna,Vallesteros,BSN,4,Female
2024-0550,Narda,Custodio,BSN,1,Female
2024-1221,Ding,Custodio,BSCS,1,Male
2024-0889,Valentina,Gorospe,BSBIO,4,Female
2024-1558,Pedro,Penduko,BSME,2,Male
2024-0440,Kokey,Alien,BSCA,1,Others
2024-1994,Enteng,Kabisote,BSMETE,4,Male
2024-0337,Faye,Magdalena,BTVTED-DT,2,Female
2024-1669,Ina,Monteclaro,BSHM,4,Female
2024-0770,Krystala,Dimasupil,BSPHY,3,Female
2024-1881,Lastikman,Espinosa,BSIAM,2,Male
2024-0110,Panday,De Dios,BSMETE,4,Male
2024-1445,Flordeliza,Mendoza,BPE,1,Female
2024-0668,Annaliza,Querubin,BSED-CHEM,1,Female
2024-1332,Mara,Del Valle,BSED-PHY,2,Female
2024-0225,Clara,Sarmiento,BSED-PHY,2,Female
2024-1771,Gulong,Ng Palad,BETCET,4,Male
2024-0556,Pepito,Manaloto,BSA,4,Male
2024-1222,Elsa,Bimapo,BAPHILO,3,Female
2024-0880,Kulas,Dimalanta,BSMB,2,Male
2024-1553,Adelfa,Guinto,BSBIO-BOT,1,Female
2024-0446,Zuma,Serpiente,BSBIO-ANBIO,4,Male
2024-1999,Galema,Rodriguez,BSBIO-ANBIO,1,Female
2024-0332,Bitoy,Bolero,BSIT,2,Male
2024-1664,Bebeth,Ganda,BSCA,3,Female
2024-0773,Kaka,Bautista,BAFIL,1,Male
2024-1887,Dely,Magpayo,BAELS,4,Female
2024-0111,Pido,Dida,BSCS,1,Male
2024-1448,Bong,Revilla,BSCA,3,Male
2024-0662,Agimat,Anito,BETCHET,4,Male
2024-1336,Mulawin,Aguiluz,BSMB,4,Male
2024-0229,Alwina,Soto,BSMB,3,Female
2024-1775,Pagaspas,Rico,BSSTAT,1,Male
